2025-04-11 13:48:23, Prediction: 0.10, Motion: 4.59, Detected: False
2025-04-11 13:48:24, Prediction: 0.15, Motion: 4.44, Detected: False
2025-04-11 13:48:24, Prediction: 0.16, Motion: 4.58, Detected: False
2025-04-11 13:48:24, Prediction: 0.17, Motion: 4.53, Detected: False
2025-04-11 13:48:24, Prediction: 0.15, Motion: 4.42, Detected: False
2025-04-11 13:48:24, Prediction: 0.15, Motion: 4.48, Detected: False
2025-04-11 13:48:25, Prediction: 0.13, Motion: 4.58, Detected: False
2025-04-11 13:48:25, Prediction: 0.10, Motion: 4.83, Detected: False
2025-04-11 13:48:25, Prediction: 0.08, Motion: 4.98, Detected: False
2025-04-11 13:48:25, Prediction: 0.08, Motion: 5.26, Detected: False
2025-04-11 13:48:26, Prediction: 0.08, Motion: 5.37, Detected: False
2025-04-11 13:48:26, Prediction: 0.03, Motion: 5.42, Detected: False
2025-04-11 13:48:26, Prediction: 0.03, Motion: 5.16, Detected: False
2025-04-11 13:48:26, Prediction: 0.03, Motion: 4.99, Detected: False
2025-04-11 13:48:27, Prediction: 0.03, Motion: 4.60, Detected: False
2025-04-11 13:48:27, Prediction: 0.03, Motion: 4.16, Detected: False
2025-04-11 13:48:27, Prediction: 0.03, Motion: 3.70, Detected: False
2025-04-11 13:48:27, Prediction: 0.03, Motion: 3.27, Detected: False
2025-04-11 13:48:27, Prediction: 0.03, Motion: 3.04, Detected: False
2025-04-11 13:48:27, Prediction: 0.04, Motion: 2.99, Detected: False
2025-04-11 13:48:28, Prediction: 0.04, Motion: 3.02, Detected: False
2025-04-11 13:48:28, Prediction: 0.04, Motion: 2.85, Detected: False
2025-04-11 13:48:28, Prediction: 0.02, Motion: 2.85, Detected: False
2025-04-11 13:48:28, Prediction: 0.01, Motion: 2.96, Detected: False
2025-04-11 13:48:28, Prediction: 0.01, Motion: 3.21, Detected: False
2025-04-11 13:48:29, Prediction: 0.01, Motion: 3.53, Detected: False
2025-04-11 13:48:29, Prediction: 0.01, Motion: 3.72, Detected: False
2025-04-11 13:48:29, Prediction: 0.01, Motion: 3.75, Detected: False
2025-04-11 13:48:29, Prediction: 0.01, Motion: 3.55, Detected: False
2025-04-11 13:48:29, Prediction: 0.01, Motion: 3.35, Detected: False
2025-04-11 13:48:30, Prediction: 0.01, Motion: 3.24, Detected: False
2025-04-11 13:48:30, Prediction: 0.01, Motion: 3.17, Detected: False
2025-04-11 13:48:30, Prediction: 0.01, Motion: 3.13, Detected: False
2025-04-11 13:48:30, Prediction: 0.01, Motion: 3.36, Detected: False
2025-04-11 13:48:30, Prediction: 0.02, Motion: 3.27, Detected: False
2025-04-11 13:48:31, Prediction: 0.02, Motion: 3.14, Detected: False
2025-04-11 13:48:31, Prediction: 0.04, Motion: 3.54, Detected: False
2025-04-11 13:48:31, Prediction: 0.08, Motion: 3.79, Detected: False
2025-04-11 13:48:31, Prediction: 0.09, Motion: 3.94, Detected: False
2025-04-11 13:48:31, Prediction: 0.10, Motion: 3.91, Detected: False
2025-04-11 13:48:31, Prediction: 0.14, Motion: 3.77, Detected: False
2025-04-11 13:48:32, Prediction: 0.17, Motion: 3.85, Detected: False
2025-04-11 13:48:32, Prediction: 0.18, Motion: 3.84, Detected: False
2025-04-11 13:48:32, Prediction: 0.18, Motion: 3.62, Detected: False
2025-04-11 13:48:32, Prediction: 0.18, Motion: 3.48, Detected: False
2025-04-11 13:48:32, Prediction: 0.18, Motion: 3.47, Detected: False
2025-04-11 13:48:33, Prediction: 0.21, Motion: 3.05, Detected: False
2025-04-11 13:48:33, Prediction: 0.18, Motion: 2.76, Detected: False
2025-04-11 13:48:33, Prediction: 0.16, Motion: 2.88, Detected: False
2025-04-11 13:48:33, Prediction: 0.16, Motion: 2.89, Detected: False
2025-04-11 13:48:33, Prediction: 0.12, Motion: 3.00, Detected: False
2025-04-11 13:48:34, Prediction: 0.09, Motion: 2.87, Detected: False
2025-04-11 13:48:34, Prediction: 0.09, Motion: 2.86, Detected: False
2025-04-11 13:48:34, Prediction: 0.08, Motion: 2.74, Detected: False
2025-04-11 13:48:34, Prediction: 0.07, Motion: 2.71, Detected: False
2025-04-11 13:48:34, Prediction: 0.07, Motion: 2.66, Detected: False
2025-04-11 13:48:34, Prediction: 0.03, Motion: 2.59, Detected: False
2025-04-11 13:48:35, Prediction: 0.02, Motion: 2.56, Detected: False
2025-04-11 13:48:35, Prediction: 0.06, Motion: 2.44, Detected: False
2025-04-11 13:48:35, Prediction: 0.06, Motion: 2.41, Detected: False
2025-04-11 13:48:35, Prediction: 0.06, Motion: 2.32, Detected: False
2025-04-11 13:48:35, Prediction: 0.06, Motion: 2.37, Detected: False
2025-04-11 13:48:36, Prediction: 0.06, Motion: 2.42, Detected: False
2025-04-11 13:48:36, Prediction: 0.06, Motion: 2.73, Detected: False
2025-04-11 13:48:36, Prediction: 0.06, Motion: 3.38, Detected: False
2025-04-11 13:48:36, Prediction: 0.06, Motion: 3.92, Detected: False
2025-04-11 13:48:36, Prediction: 0.06, Motion: 4.56, Detected: False
2025-04-11 13:48:37, Prediction: 0.06, Motion: 5.58, Detected: False
2025-04-11 13:48:37, Prediction: 0.02, Motion: 6.37, Detected: False
2025-04-11 13:48:37, Prediction: 0.03, Motion: 7.13, Detected: False
2025-04-11 13:48:37, Prediction: 0.03, Motion: 7.61, Detected: False
2025-04-11 13:48:37, Prediction: 0.03, Motion: 7.91, Detected: False
2025-04-11 13:48:38, Prediction: 0.03, Motion: 8.37, Detected: False
2025-04-11 13:48:38, Prediction: 0.07, Motion: 8.24, Detected: False
2025-04-11 13:48:38, Prediction: 0.11, Motion: 7.86, Detected: False
2025-04-11 13:48:38, Prediction: 0.13, Motion: 7.66, Detected: False
2025-04-11 13:48:38, Prediction: 0.13, Motion: 7.35, Detected: False
2025-04-11 13:48:38, Prediction: 0.14, Motion: 6.31, Detected: False
2025-04-11 13:48:39, Prediction: 0.15, Motion: 5.76, Detected: False
